name,hint1,hint2
David Spade,A sarcastic stand-up comic and alum who earned and nods as.,"He formed a famous comedy duo with Chris Farley in Tommy Boy and Black Sheep, and starred in Joe Dirt."
Chris Rock,A stand-up comedy legend discovered by in the 1980s who went on to win multiple.,"He created the sitcom Everybody Hates Chris, released legendary comedy specials like Bring the Pain, and hosted the Academy Awards."
Martin Lawrence,A former boxer who turned to stand-up comedy and hosted in the early 1990s.,"He starred in his self-titled 90s sitcom Martin, played Marcus Burnett in Bad Boys, and starred in Big Momma's House."
Chris Tucker,"A highenergy, fasttalking comedian who became the highestpaid actor in in 2006.",He played Smokey in Friday and Detective James Carter opposite Jackie Chan in the Rush Hour trilogy.
Cedric the Entertainer,A former insurance claims adjuster turned stand-up comedian who gained fame as one of The Original Kings of Comedy.,"He played Eddie in Barbershop, voiced Maurice in Madagascar, and stars as Dave Johnson's neighbor Calvin Butler on The Neighborhood."
Steve Harvey,A former homeless stand-up performer who rose through comedy clubs to become a ubiquitous host and author.,"The mustache-wearing entertainer who hosts Family Feud, The Steve Harvey Morning Show, and wrote Act Like a Lady, Think Like a Man."
Bernie Mac,A fearless stand-up comedian whose breakout performance in The of led to his own network show.,He starred as Uncle Bernie on The Bernie Mac Show and played Frank Catton in the Ocean's Eleven trilogy.
D.L. Hughley,The original host of BET's ComicView who toured as one of The Original Kings of Comedy.,He created and starred in the ABC sitcom The Hughleys and hosts a nationally syndicated radio program.
Marlon Wayans,A comedic actor and screenwriter who cowrote and starred in a recordbreaking boxoffice comedy hit.,"He starred on In Living Color, The Wayans Bros., played Marcus Copeland in White Chicks, and appeared in Requiem for a Dream."
Shawn Wayans,A member of the Wayans entertainment family who debuted as DJ 'SW-1' on In Living Color.,"He co-wrote and starred alongside his brother Marlon in The Wayans Bros., Scary Movie, and White Chicks."
Damon Wayans,A stand-up comedian and actor who created iconic characters like and on a 90s sketch series.,He starred as family patriarch Michael Kyle on My Wife and Kids and played Roger Murtaugh on TV's Lethal Weapon.
Keenen Ivory Wayans,"A trailblazing comedian and filmmaker who created, wrote, and hosted a groundbreaking Emmy-winning sketch comedy show.",The director who launched his family dynasty with In Living Color and went on to direct Scary Movie and White Chicks.
Alfonso Ribeiro,A former child star of The who danced alongside in a commercial.,He played Tom Jones-loving cousin Carlton Banks on The Fresh Prince of Bel-Air and took over hosting America's Funniest Home Videos.
Jaleel White,An actor cast for a one-time sitcom guest appearance who became an instant pop culture icon and series regular.,"He played suspender-wearing, high-pitched neighbor Steve Urkel on Family Matters and voiced Sonic the Hedgehog in 90s cartoons."
Dustin Hoffman,A legendary actor who broke out in The and won two.,"He won Oscars for Kramer vs. Kramer and Rain Man, while starring in classics like Midnight Cowboy and Tootsie."
Robert De Niro,A cinema icon who cofounded the in 2002 to help revitalize lower.,"He won Oscars for playing young Vito Corleone in The Godfather Part II and Jake LaMotta in Raging Bull, and starred in Taxi Driver."
Joe Pesci,A former barber and lounge musician who became an Oscar-winning character actor with a fiery screen presence.,"He won an Oscar for Goodfellas and played memorable roles in Casino, My Cousin Vinny, and Home Alone."
Ray Liotta,An actor known for his intense blue eyes who voiced Tommy Vercetti in Grand Theft Auto: Vice City.,He played Shoeless Joe Jackson in Field of Dreams and mobster Henry Hill in Martin Scorsese's Goodfellas.
James Gandolfini,A three-time Emmy-winning character actor who redefined modern prestige television drama in the late 1990s.,He earned critical acclaim playing New Jersey mob boss Tony Soprano on HBO's The Sopranos.
Michael Imperioli,An actor and screenwriter who wrote several episodes of the hit television crime drama he co-starred in.,He won an Emmy playing Christopher Moltisanti on The Sopranos and starred in Season 2 of The White Lotus.
Tony Sirico,An actor with silver-winged hair who agreed to join a landmark TV mob drama on the strict condition that his character never snitched.,"He played fan-favorite, germaphobic mobster Paulie 'Walnuts' Gualtieri on The Sopranos."
Steven Van Zandt,A and of guitarist who unexpectedly made his professional acting debut without prior experience.,He is the bandana-wearing guitarist in Bruce Springsteen's E Street Band who played Silvio Dante on The Sopranos.
Bruce Springsteen,A 20-time Grammy winner and Oscar recipient known for marathon stadium concerts with his E Street Band.,"The New Jersey rock legend nicknamed 'The Boss' who sang 'Born to Run', 'Thunder Road', and 'Born in the U.S.A.'."
Billy Joel,A singersongwriter who completed a historic 10year monthly arena residency.,"The 'Piano Man' singer whose hit songs include 'Uptown Girl', 'We Didn't Start the Fire', and 'Just the Way You Are'."
Elton John,A flamboyantly dressed pianoplaying superstar who earned status and holds the record for the bestselling physical single of all time.,"The British rock icon behind 'Rocket Man', 'Tiny Dancer', 'Candle in the Wind', and the soundtrack for Disney's The Lion King."
Rod Stewart,"A raspyvoiced singer and modelrailway enthusiast who spent decades building a massive 1,500squarefoot model train layout.","The spiky-haired rock star behind chart-topping hits like 'Maggie May', 'Da Ya Think I'm Sexy?', and 'Forever Young'."
Mick Jagger,A former of student who dropped out to become one of rock music's most charismatic frontmen.,"The energetic, strutting lead singer who has fronted The Rolling Stones alongside Keith Richards for over 60 years."
Keith Richards,A guitar player known for using fivestring openG tuning whose rockandroll lifestyle inspired.,The legendary co-songwriter and lead riff-maker for The Rolling Stones.
Steven Tyler,"A rock frontman dubbed the 'Demon of Screamin' due to his wide vocal range, microphone scarves, and stage acrobatics.","The lead singer of Aerosmith who sang 'Dream On', 'Sweet Emotion', and served as a judge on American Idol."
Joe Perry,A guitar hero who cofounded the supergroup alongside.,The lead guitarist of Aerosmith who formed one half of the 'Toxic Twins' with Steven Tyler.
Gene Simmons,A former elementary school teacher and entrepreneur who performed on stage in heavy blackandwhite face paint.,"The tongue-wagging, fire-breathing bassist known as 'The Demon' in the rock group KISS."
Paul Stanley,A rhythm guitarist and painter who once starred in a stage production of The of.,The frontman known as 'The Starchild' who sang 'Rock and Roll All Nite' and 'I Was Made for Lovin' You' with KISS.
Alice Cooper,A performer dubbed the 'Godfather of Shock Rock' who is also a scratch golfer playing up to 36 holes a day.,"The theatrical rocker famous for stage props like guillotines and snakes, and anthem hit 'School's Out'."
Ozzy Osbourne,A heavy metal vocalist whose family reality series became the mostwatched show in network history.,"The 'Prince of Darkness' who fronted Black Sabbath, sang 'Crazy Train', and starred on MTV's The Osbournes."
Rob Zombie,A former production assistant on who pivoted to heavy metal and horror filmmaking.,The frontman of White Zombie who directed horror films like House of 1000 Corpses and the 2007 Halloween remake.
Tommy Lee,A heavily tattooed rock musician who famously performed drum solos while spinning inside a 360-degree roller coaster rig.,The wild founding drummer for 80s glam metal band Mötley Crüe.
Vince Neil,A blonde hard rock vocalist who later appeared on reality television shows including The Celebrity Apprentice.,"The lead singer of Mötley Crüe who sang 'Girls, Girls, Girls', 'Dr. Feelgood', and 'Kickstart My Heart'."
Nikki Sixx,A rock bassist and author who detailed his near-fatal overdose experience in the bestselling book The Heroin Diaries.,The primary songwriter and bass player for heavy metal band Mötley Crüe.
Slash,A British-American musician whose signature top hat was originally stolen from a shop in Los Angeles.,The iconic Gibson Les Paul-playing lead guitarist for Guns N' Roses who created the main riff for 'Sweet Child O' Mine'.
Axl Rose,A high-octane rock vocalist who briefly filled in as lead singer for on their 2016 world tour.,"The bandana-wearing frontman of Guns N' Roses who sang 'Welcome to the Jungle', 'Paradise City', and 'November Rain'."
Duff McKagan,A hard rock bass player who studied finance in his 30s and wrote financial advice columns for major news outlets.,The long-time bassist for Guns N' Roses who also co-founded the supergroup Velvet Revolver.
Sammy Hagar,A rock singer and entrepreneur nicknamed 'The Red Rocker' who created and sold the lucrative Cabo Wabo tequila brand.,The solo artist who sang 'I Can't Drive 55' before replacing David Lee Roth as lead singer of Van Halen.
David Lee Roth,A flamboyant rock showman nicknamed 'Diamond Dave' who secretly trained and worked as an EMT in New York City.,"The original acrobatic lead singer of Van Halen who sang hits like 'Jump', 'Panama', and 'California Girls'."
Bret Michaels,A bandana-wearing hair metal vocalist who won Season 3 of The Celebrity Apprentice.,The lead singer of Poison who starred on VH1's dating show Rock of Love and sang 'Every Rose Has Its Thorn'.
Sebastian Bach,A Canadian-American metal singer who successfully transitioned to starring in Broadway musicals like Jekyll & Hyde.,The former lead singer of 80s hair metal band Skid Row who also had a recurring role on Gilmore Girls.
Meat Loaf,A theatrical operatic rock singer whose smash album of became one of the bestselling records in history.,He sang 'I'd Do Anything for Love (But I Won't Do That)' and played Eddie in The Rocky Horror Picture Show.
Huey Lewis,A harmonicaplaying poprock frontman who recorded the -nominated hit song for the 1985 movie to.,The leader of Huey Lewis and the News behind 1980s hit tracks like 'The Power of Love' and 'Hip to Be Square'.
Kenny Loggins,A soft-rock singer and songwriter dubbed the 'King of the Movie Soundtrack' due to his massive 1980s film contributions.,"The hitmaker who sang 'Danger Zone' for Top Gun, 'Footloose', and 'I'm Alright' for Caddyshack."
Michael McDonald,A soulinfluenced keyboardist and backing singer for who went on to define the 1970s blueeyed soul sound.,The baritone-voiced singer known for his work with The Doobie Brothers ('What a Fool Believes') and solo hit 'I Keep Forgettin''.
Phil Collins,A musician who is one of only three artists to sell over 100 million albums both as a solo artist and as a principal band member.,The drummer and lead vocalist of Genesis famous for his solo hit 'In the Air Tonight' and Oscar-winning Tarzan soundtrack.
Peter Gabriel,A progressive rock pioneer and world music advocate who cofounded the global festival.,The original lead singer of Genesis who achieved solo success with 'Sledgehammer' and 'In Your Eyes'.
Steve Perry,"An arena rock singer nicknamed 'The Voice' by Jon Bon Jovi for his distinctively smooth, multi-octave vocal range.","The longtime lead singer for Journey who sang timeless hits like 'Don't Stop Believin'', 'Open Arms', and 'Faithfully'."
Rick Springfield,An performer who starred as on at the exact same time he topped the pop music charts.,The pop-rock musician and soap actor best known for his 1981 Grammy-winning #1 hit 'Jessie's Girl'.
Bryan Adams,A rock musician who also built an acclaimed secondary career as a published fashion and celebrity photographer.,The singer behind nostalgia rock classic 'Summer of '69' and movie power ballad '(Everything I Do) I Do It for You'.
Corey Hart,A pop musician who famously declined offer to audition for the lead role in to.,The 1980s pop singer best known for his hit debut single 'Sunglasses at Night'.
Rick Astley,An pop singer whose 1987 debut single accidentally inspired one of the most famous baitandswitch internet pranks in history.,"The deep-voiced singer behind 'Never Gonna Give You Up', the song central to 'Rickrolling'."
Boy George,An androgynous icon who later composed the stage musical.,The flamboyantly dressed frontman of Culture Club known for hits like 'Karma Chameleon' and 'Do You Really Want to Hurt Me'.
Billy Idol,"A sneering, blonde-spiked punk rocker who made a memorable cameo on an airplane in Adam Sandler's The Wedding Singer.","The British rocker behind MTV-era hits like 'White Wedding', 'Rebel Yell', and 'Dancing with Myself'."
Adam Ant,A postpunk frontman voted 's in 1982 who sported highwayman makeup and dandy pirate attire.,"The British New Wave singer known for hits like 'Goody Two Shoes', 'Stand and Deliver', and 'Prince Charming'."
Simon Le Bon,A singer and avid ocean racer who survived a terrifying yacht capsize in 1985.,"The lead singer of Duran Duran who sang 'Rio', 'Hungry Like the Wolf', and 'Girls on Film'."
John Taylor,A bass guitarist who cofounded the 1990s hard rock supergroup alongside.,The stylish bass player and co-founder of Duran Duran who became a major 1980s teen idol.
Gary Numan,An electronic music pioneer and licensed aerobatic pilot who used to perform in air displays with vintage aircraft.,The synth-pop artist whose robotic vocals on the 1979 hit 'Cars' helped popularize electronic music worldwide.
Thomas Dolby,A synth musician who transitioned into tech entrepreneurship and became a university professor.,The mad-scientist musician famous for his 1982 synth-pop hit 'She Blinded Me with Science'.
Howard Jones,A synthpop musician who performed solo on piano at during the iconic 1985 concert.,The 1980s synth artist behind uplifting hit singles like 'Things Can Only Get Better' and 'What Is Love?'.
Midge Ure,A Scottish musician and producer who co-wrote and produced the record-breaking charity single 'Do They Know It's Christmas?'.,The lead singer of Ultravox who co-organized Band Aid and Live Aid alongside Bob Geldof.
Bob Geldof,An rock vocalist who was awarded an honorary knighthood for his global humanitarian fundraising efforts.,The lead singer of The Boomtown Rats who organized the historic 1985 Live Aid charity concerts.
Roland Orzabal,A twotime songwriter who cofounded a major synthpop duo inspired.,The primary songwriter and lead co-vocalist of Tears for Fears who wrote 'Shout' and 'Everybody Wants to Rule the World'.
Curt Smith,A British-American musician who made multiple recurring comedic guest appearances as himself on the TV series Psych.,The co-lead vocalist and bassist for Tears for Fears who sang lead on 'Mad World' and 'Everybody Wants to Rule the World'.
Martin Fry,A British New Wave singer famous for performing on stage in a gleaming gold lamé suit.,The suave lead singer of the pop group ABC who sang 'The Look of Love' and 'Poison Arrow'.
Tony Hadley,A powerful vocalist who won the reality singing competition in the in 2003.,The lead singer of New Romantic group Spandau Ballet who sang the 1983 ballad 'True'.
Jim Kerr,A rock vocalist who coowns a luxury boutique hotel.,The lead singer of Simple Minds who sang 'Don't You (Forget About Me)' from The Breakfast Club soundtrack.
Richard Butler,A raspyvoiced postpunk musician who is also an accomplished fine art painter with gallery exhibits across.,The lead singer of The Psychedelic Furs who sang 'Pretty in Pink' and 'Love My Way'.
Ian McCulloch,A postpunk frontman and diehard supporter known for wearing long trench coats.,The lead singer of Echo & the Bunnymen who sang post-punk classics like 'The Killing Moon' and 'Lips Like Sugar'.
Robert Smith,A music icon who publicly fought corporate ticketing platforms to keep ticket prices fair and feefree for fans.,"The wild-haired, eyeliner-wearing frontman of The Cure who sang 'Friday I'm in Love', 'Boys Don't Cry', and 'Lovesong'."
Morrissey,A vocal advocate for animal rights who mandates strict meatfree venue policies for all of his concert dates.,"The dramatic, gladiolus-waving former frontman of The Smiths known for his witty, melancholic lyrics and solo work."
Johnny Marr,An influential guitarist who later joined bands like and The in the 2000s.,The jangle-pop guitar virtuoso who co-founded The Smiths alongside Morrissey.
Bernard Sumner,A musician who formed the supergroup in 1989 alongside.,A founding member and guitarist of Joy Division who became the lead singer and guitarist for New Order.
Neil Tennant,A former music journalist and assistant editor for magazine who transitioned into a recording career.,The dryly spoken lead vocalist for British electronic synth-pop duo Pet Shop Boys ('West End Girls').
Dave Gahan,A baritonevoiced musician inducted into the and of in 2020.,The energetic lead frontman of synth-rock giants Depeche Mode who sang 'Enjoy the Silence' and 'Personal Jesus'.
Martin Gore,A multiinstrumentalist who has served as the chief songwriter for his electronic group since 1981.,"The primary songwriter, guitarist, and keyboardist behind Depeche Mode who penned 'Personal Jesus' and 'Enjoy the Silence'."
Andy Bell,A singer who earned his big music break by responding to a classified advertisement in magazine in 1985.,The flamboyantly talented lead vocalist of synth-pop duo Erasure behind 'A Little Respect' and 'Always'.
Vince Clarke,A synthpop pioneer who was a founding member and key songwriter for three major electronic groups across the 1980s.,The keyboardist and songwriter who wrote early hits for Depeche Mode before founding Yazoo (Yaz) and Erasure.
Marc Almond,An singer appointed an in 2018 for his contributions to the arts and culture.,The lead singer of synth-pop duo Soft Cell who sang their iconic 1981 hit cover of 'Tainted Love'.
Freddie Mercury,A fouroctave vocalist who personally designed his band's official crest logo using the zodiac signs of its members.,The legendary Queen frontman who commanded the stage at Live Aid and sang 'Bohemian Rhapsody' and 'We Are the Champions'.
Brian May,A British musician with a PhD in astrophysics who hand-built his signature 'Red Special' electric guitar with his father.,The legendary Queen lead guitarist who wrote arena anthems like 'We Will Rock You'.
Tiger Woods,A golfing prodigy who won four consecutive major championships between 2000 and 2001.,The 15-time major golf champion known for wearing his signature Sunday red polo.
Kobe Bryant,An elite shooting guard who won an in 2018.,"The 'Black Mamba' who played 20 seasons for the Los Angeles Lakers, wearing numbers 8 and 24."
Alexis Ohanian,A technology executive and venture capitalist who cofounded a massive web linksharing community in 2005.,The tech entrepreneur who co-founded Reddit and is married to tennis legend Serena Williams.
Derek Jeter,"A Hall of Fame baseball player who accumulated 3,465 career hits and founded The Players' Tribune.",The longtime shortstop and captain of the New York Yankees who wore number 2 and won five World Series rings.
Wayne Gretzky,A sports icon whose career assists alone exceed any other player's total combined points in league history.,The hockey superstar revered as 'The Great One' who wore number 99 for the Edmonton Oilers and Los Angeles Kings.
Michael Phelps,An American athlete who holds the all-time record for the most Olympic gold medals won in history.,The swimming legend who won a record eight gold medals at the 2008 Beijing Olympics.
Deion Sanders,The only athlete in sports history to play in both a and.,The dual-sport star cornerback and outfielder nicknamed 'Prime Time' who became the head football coach at Colorado.
Bo Jackson,A Heisman Trophy winner who became an All-Star in both the MLB and the NFL.,The powerhouse running back and outfielder famously featured in Nike's 'Bo Knows' campaign.
Allen Iverson,An elite dualsport high school star who won state titles in both football and basketball before entering.,The crossover-master guard for the Philadelphia 76ers nicknamed 'The Answer' who won the 2001 NBA MVP.
Roger Federer,A tennis star who held the world 1 ranking for a record 237 consecutive weeks.,"The elegant Swiss tennis icon who won 20 Grand Slam singles titles, including eight Wimbledon championships."
Rafael Nadal,A tennis star who won 14 singles titles at a single tournament.,The fierce topspin-heavy lefty dubbed the 'King of Clay' for his historic dominance at Roland Garros.
Floyd Mayweather Jr.,A defensive boxing strategist who retired from professional competition with a unblemished 500 record.,The pay-per-view boxing star nicknamed 'Money' who won world titles across five different weight classes.
Mike Tyson,A knockout artist who became the youngest heavyweight boxing champion in history at age 20.,The ferocious puncher known as 'Iron Mike' who featured a prominent facial tattoo and starred in The Hangover.
Evander Holyfield,The only boxer in history to reign as the undisputed champion in both the cruiserweight and heavyweight divisions.,The relentless heavyweight boxing champion nicknamed 'The Real Deal' who was involved in the infamous 1997 'Bite Fight'.
Oscar De La Hoya,An boxer who won an gold medal at the 1922 after making a promise to his mother.,The 'Golden Boy' of boxing who won world titles in six weight classes before founding Golden Boy Promotions.
Tony Hawk,A vertical ramp skateboarder who landed the first documented 900degree aerial spin at the 1999.,The skateboarding icon whose name adorns the hit Pro Skater video game franchise.
Shaun White,A dualseason action sports competitor who holds the record for most halfpipe snowboarding gold medals.,The three-time Olympic gold medalist halfpipe snowboarder nicknamed 'The Flying Tomato'.
Travis Pastrana,A freestyle motocross competitor who landed the world's first competitive double backflip on a dirt bike in 2006.,The action sports stunt pioneer who founded the Nitro Circus franchise.
Dale Earnhardt Jr.,A stock car driver voted for 15 consecutive years from 2003 to 2017.,The two-time Daytona 500 winner and broadcaster who drove the No. 88 car and followed in his legendary father's footsteps.
Jeff Gordon,A four-time Cup Series champion driver who helped bring NASCAR into mainstream American pop culture in the 1990s.,The driver of the iconic rainbow-warrior No. 24 Chevrolet who won 93 Cup Series races.
Jimmie Johnson,A stock car driver who won five consecutive championships from 2006 to 2010.,The record-tying seven-time NASCAR Cup Series champion who piloted the Lowe's No. 48 car.
Alex Rodriguez,A three-time American League MVP who hit 696 career home runs during his major league career.,The slugger nicknamed 'A-Rod' who won the 2009 World Series with the New York Yankees and became a television broadcaster.
Barry Bonds,A left fielder who won a record seven awards.,The San Francisco Giants slugger who holds the MLB records for most home runs in a single season (73) and most career home runs (762).
Ken Griffey Jr.,A of center fielder who made history by playing on the same team as his father.,"The Seattle Mariners legend nicknamed 'The Kid' famous for his backward hat, sweet swing, and 630 home runs."
David Ortiz,A clutch designated hitter who recorded 17 career walkoff home runs in the major leagues.,The Boston Red Sox legend nicknamed 'Big Papi' who helped lead the franchise to three World Series titles.
Sammy Sosa,A slugger who became the first player in major league history to hit 60 or more home runs in three different seasons.,The Chicago Cubs right fielder who sprinted to his position with a chest-thump salute and chased 62 home runs in 1998.
Mark McGwire,A power-hitting first baseman who set a rookie home run record in 1987 as one half of the 'Bash Brothers'.,The St. Louis Cardinals slugger nicknamed 'Big Mac' who hit 70 home runs in 1998 to break Roger Maris's single-season record.
Randy Johnson,"A 6a notable project of pitcher who achieved 4,875 career strikeouts and later became a professional nature and concert photographer.","The intimidating, mullet-wearing left-handed pitcher nicknamed 'The Big Unit' who won a World Series with the Arizona Diamondbacks."
Pedro Martinez,A of pitcher who posted a staggering 1.74 in 2000 during the height of an offenseheavy era.,The three-time Cy Young Award winner who dominated on the mound for the Boston Red Sox and helped them win the 2004 World Series.
Greg Maddux,The first pitcher in major league history to win four consecutive relying on pinpoint control over velocity.,The Atlanta Braves rotation legend nicknamed 'The Professor' who won 355 games and 18 Gold Glove Awards.
John Elway,A Hall of Fame quarterback famous for orchestrating 'The Drive' and retiring immediately after winning back-to-back championships.,The iconic Denver Broncos quarterback who wore number 7 and led his team to Super Bowl XXXII and XXXIII victories.
Joe Montana,"A calm, collected quarterback who won four without throwing a single interception across all four title games.",The San Francisco 49ers legend nicknamed 'Joe Cool' who threw the winning touchdown pass in 'The Catch'.
Jerry Rice,"An legend famous for his legendary offseason hill workouts who holds the alltime records for receptions, yards, and touchdowns.",The Hall of Fame wide receiver who wore number 80 for the San Francisco 49ers and won three Super Bowl rings.
Dan Marino,"A quarterback famed for his quick release who set singleseason records with 5,084 passing yards and 48 touchdowns in 1984.",The Hall of Fame Miami Dolphins signal-caller who wore number 13 and starred in Ace Ventura: Pet Detective.
Troy Aikman,The 1 overall pick in the 1989 who led his franchise to three victories in four years.,The Hall of Fame Dallas Cowboys quarterback who wore number 8 and became a lead Monday Night Football television analyst.
Emmitt Smith,A highly durable Hall of Fame running back who won Season 3 of Dancing with the Stars.,"The Dallas Cowboys legend who surpassed Walter Payton to become the NFL's all-time leading rusher with 18,355 yards."
Ray Lewis,A twotime of the who led his franchise's historic 2000 defense to a championship victory.,The intense Baltimore Ravens middle linebacker famous for his pre-game 'Squirrel Dance' and wearing number 52.
Randy Moss,A of receiver who set the singleseason record with 23 touchdown catches in 2007.,The explosive deep-threat wide receiver for the Minnesota Vikings and New England Patriots whose aerial catches coined the verb 'Mossed'.
Rob Gronkowski,A four-time Super Bowl champion tight end who became as famous for his playful party persona off the field as his play on it.,The larger-than-life New England Patriots tight end nicknamed 'Gronk' who celebrated touchdowns with his signature ball spike.
JJ Watt,"A defensive star who raised over $37 million for natural disaster relief in, winning the of.",The dominant Houston Texans defensive end who won three NFL Defensive Player of the Year awards.
Dennis Rodman,A of defensive forward and rebounding force who led the in rebounds per game for seven straight years.,"The colorful NBA star nicknamed 'The Worm' known for his dyed hair, tattoos, and championships with the Pistons and Bulls."
Scottie Pippen,A versatile of small forward who won two gold medals and revolutionized the pointforward position.,The premier perimeter defender who won six NBA championships alongside Michael Jordan on the 1990s Chicago Bulls.
Patrick Ewing,A legend selected as the first overall pick in the inaugural 1985 lottery.,The Hall of Fame center who wore number 33 and served as the franchise cornerstone for the New York Knicks for 15 seasons.
Reggie Miller,A clutch threepoint shooter who famously scored eight points in nine seconds to stun the in a 1995 playoff game.,The Hall of Fame Indiana Pacers shooting guard who wore number 31 and became a long-time NBA color commentator.
Karl Malone,"A twotime who scored 36,928 career points, ranking among the top scoring leaders in league history.",The Hall of Fame Utah Jazz power forward nicknamed 'The Mailman' who ran the pick-and-roll with John Stockton.
John Stockton,"A point guard who holds the alltime records for both career assists (15,806) and career steals (3,265).",The short-shorts-wearing Hall of Fame point guard who played 19 seasons for the Utah Jazz wearing number 12.
Tim Duncan,A former competitive teenage swimmer from the who transitioned to basketball and won two.,The quiet San Antonio Spurs legend nicknamed 'The Big Fundamental' who won five NBA championships under Gregg Popovich.
Kevin Garnett,An intensely vocal power forward who was drafted directly out of high school into the in 1995.,The Hall of Famer nicknamed 'The Big Ticket' who won the 2004 NBA MVP with Minnesota and a 2008 title with Boston.
Dirk Nowitzki,"The highestscoring player in history, accumulating over 31,000 points across 21 seasons with a single franchise.",The 7-foot German power forward famous for his unguardable one-legged fadeaway jumper that led the Dallas Mavericks to the 2011 NBA championship.
Vince Carter,A high-flying wing player who holds the record for playing across four different calendar decades.,The Toronto Raptors and New Jersey Nets star nicknamed 'Vinsanity' who put on a iconic performance at the 2000 NBA Slam Dunk Contest.
Larry Bird,A three-time NBA MVP who famously asked competitors who was finishing in second place before winning the 1986 Three-Point Contest.,The legendary Boston Celtics forward nicknamed 'The Hick from French Lick' who wore number 33 and won three NBA championships.
Kareem Abdul-Jabbar,"A sixtime who mastered an unblockable signature shot and scored 38,387 career points.",The goggles-wearing center for the Bucks and Lakers famous for his unstoppable 'Skyhook'.
Hakeem Olajuwon,A Nigerian-born Hall of Fame center whose dazzling footwork move was dubbed the 'Dream Shake'.,The Houston Rockets legend who led the team to back-to-back NBA championships in 1994 and 1995 while wearing number 34.
David Robinson,A of center who served two years of active duty as a civil engineering officer in the before his rookie season.,"The San Antonio Spurs legend nicknamed 'The Admiral' who won two NBA titles, an MVP award, and scored 71 points in a single game."
Dwyane Wade,An explosive shooting guard who earned honors in 2006 after bringing his franchise back from a 02 series deficit.,The Miami Heat icon nicknamed 'Flash' who wore number 3 and won three NBA championships alongside Shaquille O'Neal and LeBron James.
Chris Paul,An elite point guard who served as of the from 2013 to 2021.,"The veteran floor general nicknamed 'CP3' famed for his mid-range jumper, leadership, and State Farm commercial spots."
Carmelo Anthony,A prolific scoring forward who led the to an as a freshman before winning three gold medals.,The NBA scoring champion known for his signature 3-point head tap who starred for the Denver Nuggets and New York Knicks.
James Harden,An offensive superstar who went from winning the of the in 2012 to winning regular season in 2018.,"The left-handed guard famous for his thick facial beard, foul-drawing prowess, and isolation step-back three-pointers."
Russell Westbrook,An athletic point guard who became the first player since to average a tripledouble across an entire season.,"The 2017 NBA MVP who played for the Oklahoma City Thunder, known for wearing number 0 and his high-octane intensity."
Kyrie Irving,A point guard famed for elite ballhandling who hit the gamewinning threepointer in 7 of the 2016.,The crafty guard who created the 'Uncle Drew' alter-ego and won an NBA title alongside LeBron James in Cleveland.
Kawhi Leonard,A stoic perimeter defender and forward who won honors with two separate franchises.,The two-time NBA champion nicknamed 'The Klaw' who famously led the Toronto Raptors to their first title in 2019.
Damian Lillard,A long-range shooting NBA guard who releases hip-hop albums under the rap persona 'Dame D.O.L.L.A.',The longtime Portland Trail Blazers star famous for pointing to his wrist to celebrate clutch shots during 'Dame Time'.
Anthony Davis,"A versatile big man who won an national title at an gold medal, and an title by age 27.",The elite power forward/center nicknamed 'AD' who won the 2020 NBA championship with the Los Angeles Lakers.
Calvin Johnson,"A physical freak at wide receiver who set the singleseason receiving yards record with 1,964 yards in 2012.","The 6'5"" Hall of Fame Detroit Lions wide receiver nicknamed 'Megatron'."
Terrell Owens,A of wide receiver who famously played on a freshly fractured leg with torn ankle ligaments.,The outspoken wide receiver known as 'T.O.' famous for pulling a Sharpie from his sock to sign a touchdown football.
Chad Johnson,A colorful wide receiver who legally altered his surname in 2008 to match his jersey number 85.,"The Cincinnati Bengals star receiver formerly known as 'Ocho Cinco' famed for elaborate, hilarious touchdown celebrations."
Adrian Peterson,"A dominant running back who rushed for 2,097 yards in 2012, just eight yards shy of the singleseason record, after recovering from a torn.",The powerful Minnesota Vikings tailback nicknamed 'All Day' (A.P.) who won the 2012 NFL MVP award.
Marshawn Lynch,A bruising running back whose legendary 67yard playoff touchdown run triggered seismic activity registered on local sensors.,The Seattle Seahawks power back nicknamed 'Beast Mode' famous for munching Skittles on the sidelines and 'I'm just here so I don't get fined'.
Aaron Donald,A generational defensive lineman who won three of the awards.,The interior defensive tackle who wore number 99 for the Los Angeles Rams and sealed Super Bowl LVI with a game-ending pressure.
Von Miller,An edge rusher who earned championship honors after forcing two stripfumbles in a championship victory.,The Denver Broncos and LA Rams pass rusher famous for wearing thick-rimmed glasses off the field and his quick first step.
Richard Sherman,A communications graduate who represented himself without an agent during contract negotiations.,The outspoken cornerback who anchored the Seattle Seahawks' famous 'Legion of Boom' secondary.
Michael Thomas,A wide receiver who set the singleseason record with 149 catches during the 2019 season.,The former New Orleans Saints star pass-catcher who operated under the handle '@Cantguardmike'.
Julio Jones,An wide receiver who holds the highest career receiving yards per game average in league history.,The physically imposing Atlanta Falcons wideout who wore number 11 and dominated defensive secondaries in the 2010s.
Clayton Kershaw,"A lefthanded starting pitcher who won the pitching in 2011 by leading his league in wins, and strikeouts.","The longtime Los Angeles Dodgers ace who wore number 22, won three Cy Young Awards, and earned the 2014 NL MVP."
Max Scherzer,A fierce starting pitcher known for having different colored eyes due to heterochromia iridium.,The intense right-hander nicknamed 'Mad Max' who won Cy Young Awards in both leagues and struck out 20 batters in a single game.
